Id_bien;No_voie;BTQ;Type _voie;Voie;Total_ pieces ;Surface_local;Surface Carrez;Type_local;Id_codedep_codecommune
44;2308;;AV;DES VALLEES;4;88;88,59;Appartement;74_278
45;22;;BD;SAINT MARCEL;2;41;30,05;Appartement;75_105
46;45;;BD;DE MAGENTA;2;32;32,3;Appartement;75_110
47;14;;AV;DE LA REPUBLIQUE;4;120;120,28;Appartement;75_111
48;160;;RUE;SAINT MAUR;2;28;17,94;Appartement;75_111
49;11;;RUE;DU MOULIN JOLY;2;28;28,39;Appartement;75_111
50;36;;RUE;ERARD;2;41;18;Appartement;75_112
51;220;;RUE;DE CHARENTON;3;51;51,44;Appartement;75_112
52;17;;RUE;D AUSTERLITZ;1;10;10,06;Appartement;75_112
53;60;A;RUE;EMERIAU;4;88;88,3;Appartement;75_115
54;4;;RUE;SQUARE CARPEAUX;1;18;23,98;Appartement;75_118
55;36;;AV;DE CLICHY;2;39;53,59;Appartement;75_118
56;68;;RUE;MARCADET;2;25;24,3;Appartement;75_118
57;16;;AV;ALEXANDRE ANQUETIN;4;59;61,52;Appartement;76_217
58;5;;PARC;DE LA BRESLE;3;58;57,27;Appartement;76_451
59;4;;RUE;FRANCOIS LAPERT;1;25;23,98;Appartement;76_655
60;5;B;RUE;DE LA SOLIDARITE;2;40;35,32;Appartement;77_118
61;4;;ALL;HELENE LAZAREFF;4;89;89,41;Appartement;78_350
62;1;;AV;DE DENTON;5;107;106,19;Appartement;78_423
63;15;;RUE;ROBERT DESNOS;4;70;67,76;Appartement;78_545
64;1;;RUE;MAL DE LATTRE DE TASSIGNY;2;40;40,55;Appartement;78_545
65;53;;RUE;DE MAREIL;5;142;84,31;Appartement;78_551
66;1;;RUE;MAETERLINCK;3;74;74;Appartement;78_586
67;2;;RUE;DIVISION LECLERC;2;48;49,16;Appartement;78_640
68;;;;LES SAVELS;2;50;50,74;Appartement;83_062
69;31;;AV;DE LA SABLIERE CAPTE;1;20;20,15;Appartement;83_069
70;9100;;RES;LE GRAND SOLEIL;2;38;47,52;Appartement;83_112
71;8;;ALL;DES PAQUERETTES;5;91;86,92;Maison;83_123
72;43;;RUE;CAMPANE;2;40;37,24;Appartement;84_007
73;78;;RUE;CARNOT;2;45;43,12;Appartement;85_047
74;20;B;ALL;DU HAUT POITOU;1;30;30,42;Appartement;86_062
75;9007;;RUE;DES DOUVES;4;75;71,03;Appartement;86_194
76;14;;RUE;DU CLUZEAU;2;62;62,95;Appartement;87_075
77;8;;RUE;GEORGES BELJEAN;2;43;43,54;Appartement;87_085
78;2;;RUE;D ADELAIAU;5;128;128,34;Appartement;91_249
79;6;;RUE;DE LA DIVISION LECLERC;2;43;43,42;Appartement;91_689
80;79;;RUE;DE VARSOVIE;3;55;49,45;Appartement;92_025
81;5;;BD;GEORGES CLEMENCEAU;3;65;62,1;Appartement;92_026
82;32;;RUE;GEORGES THORETTON;3;59;59,35;Appartement;92_036
83;74;;RUE;JULES GUESDE;2;55;52,85;Appartement;92_044
84;35;;AV;SAINTE FOY;4;90;106,31;Maison;93_032
85;4;;ALL;JOSEPHINE;4;77;77,93;Appartement;93_051
86;129;;ALL;JULES AUFFRET;2;46;46;Appartement;93_057
87;1;;PL;GASTON BUSSIERE;2;24;24,63;Appartement;93_071
88;21;;RUE;CLAUDE BERNARD;3;67;67,1;Appartement;94_044
89;18;;RUE;DE PROVENCE;4;66;80;Maison;94_060
90;4;;RUE;DU CLOS SAINT NICOLAS;2;49;48,02;Appartement;94_060
91;7;;RUE;DE L EGALITE;1;17;16,37;Appartement;94_080
92;16;;RUE;DE LA FOSSE AUX BICHES;4;69;72,53;Appartement;95_252
93;57;;ALL;DU VEXIN;5;93;90,07;Maison;95_388
94;9004;;RES;LES LIGNIERES;3;56;57,1;Appartement;95_607
95;9;;RUE;NEUVE;1;47;41,82;Appartement;01_262
96;27;;RUE;FERNAND THUILLART;6;156;165,11;Appartement;02_408
97;2;;RUE;DENAIN;3;77;124,01;Appartement;03_190
98;7052;;RES;LES CHENEVRIERS;1;25;24,32;Appartement;04_073
99;7102;;PL;DE L ENGIEN;4;133;106,43;Appartement;04_166
100;9002;;PL;DU DOCTEUR ROBERT;1;33;32,89;Appartement;04_209
101;15;;AV;NIQUET;2;41;37,66;Appartement;06_004
102;7;;CHE;DE SAINT LAURENT;3;58;58,42;Appartement;06_027
103;8;;RUE;ROSSINI;4;98;99,04;Appartement;06_088
104;27;;RUE;LAMARTINE;3;95;30,2;Appartement;06_088
105;4;;AV;VALROSE;3;68;68,75;Appartement;06_088
106;15;B;AV;VICTOR CAUVIN;2;58;56,05;Appartement;06_159
107;5;;IMP;DU CHANT DE L ALOUETTE;3;52;55,5;Appartement;10_323
108;5279;F;RUE;DU 14 JUILLET;3;51;53,09;Appartement;13_119
109;55;;RUE;FRANCIS DAVSO;2;50;48,24;Appartement;13_201
110;9;;RUE;BOSCARY;1;30;28,4;Appartement;13_204
111;9;;RUE;CRUDERE;3;51;51,01;Appartement;13_206
112;13;;BD;GUSTAVE GANAY;3;52;51,54;Appartement;13_209
113;4;;RUE;AUX NAMPS;2;59;34,83;Appartement;14_118
114;1;;RUE;PESTEL;1;13;12,44;Appartement;14_333
115;1;;AV;P CASSAGNAVERE;2;53;53,76;Appartement;14_715
116;1;;RUE;CHARLES KOECHLIN;2;32;52,82;Maison;14_754
117;66;;AV;DENFERT ROCHEREAU;1;33;32,18;Appartement;17_300
118;6;;RUE;DES MENDRIES;3;50;49,9;Maison;17_414
119;5;;RES;DE LA HAUTE RIVE;4;67;68,3;Appartement;22_113
120;33;;RUE;ANATOLE LE BRAZ;2;57;54,42;Appartement;22_168
121;16;H;BD;DE L ATLANTIQUE;4;64;64;Appartement;22_278
122;19;;AV;DAUMESNIL;1;33;31,05;Appartement;24_322
123;850;;CHE;DES GOUILLOTTES;5;147;127,96;Appartement;25_527
124;34;B;RUE;DU FAUBOURG ST JEAN;5;105;106,03;Maison;28_085
125;22;;RUE;THEAULON;2;50;32,29;Appartement;30_003
126;145;;QUAI;DE BILINA;2;39;39,5;Appartement;30_007
127;80;;RUE;DES ANEMONES;1;19;20;Appartement;30_133
128;4;B;RUE;ARNAVIELLE;3;60;60,07;Appartement;30_189
129;3;;RUE;DAUMESNIL;2;57;54;Appartement;32_013
130;230;;BD;DE LA REPUBLIQUE;2;44;44,12;Appartement;33_005
131;52;;RUE;DU TONDU;4;60;61,16;Appartement;33_063
132;17;;RUE;DES HIRONDELLES;4;86;86,3;Maison;33_075
133;17;;RUE;LAURENT FIGNON;2;45;39,23;Appartement;33_550
134;7;;AV;PASTEUR;1;24;24,6;Appartement;34_023
135;5;;RUE;HENRI HERTZ;2;42;42,2;Appartement;37_261
136;4;;ALL;DES ERABLES;3;70;63,1;Appartement;37_261
137;6;;RUE;DOYEN GOSSE;1;20;21;Appartement;38_169
138;4;;PL;BIR HAKEIM;3;95;95,74;Appartement;38_185
139;13;;AV;DE LA MUZELLE MT DE LANS;3;62;60,55;Appartement;38_253
140;176;;AV;GABRIELE  D ANNUNZIO;1;25;29,78;Maison;40_046
141;49;;AV;VICTOR HUGO;1;19;18,63;Appartement;40_088
142;112;;AV;DU MARENSIN;3;47;82,35;Maison;40_304
143;2;;CHE;DES GREFFIERS;4;93;94,39;Maison;42_256
144;52;;BD;DE L EGALITE;3;64;62,14;Appartement;44_109
145;18;;RUE;BONNE GARDE;2;47;47,34;Appartement;44_190
146;1;;RUE;PAUL VERLAINE;2;42;42,25;Appartement;44_204
147;239;;FG;SAINT VINCENT;3;65;65,71;Appartement;45_234
148;13;;ALL;DES ERABLES;1;69;72,37;Appartement;45_286
149;74;;RTE;DE COUTANCES;2;47;57,88;Appartement;50_002
150;7;;IMP;DES CARMELITES;4;121;119,95;Appartement;51_454
151;21;;RUE;DES SOEURS MACARONS;2;38;36,6;Appartement;54_395
152;2;;RES;DE PORH MEN GUEN;3;105;97,51;Appartement;56_062
153;19;;AV;SIMONE;3;80;80,09;Appartement;59_368
154;42;Q;RUE;JEAN JAURES;2;30;29,73;Maison;59_378
155;468;;RUE;HENRI DURRE;5;139;153,25;Maison;59_491
156;2;;RUE;AMPERE;1;37;41;Appartement;60_159
157;59;C;RUE;DU GENERAL MANGIN;8;210;220,72;Maison;60_159
158;35;;IMP;JEAN DE LA FONTAINE;2;30;30,38;Appartement;60_382
159;1;;AV;JACQUES CARTIER;4;74;72,91;Appartement;60_395
160;34;B;AV;DE LA GARE;3;68;67,47;Appartement;60_524
161;76;;PL;GRAND PLACE;2;45;45,5;Appartement;62_041
162;31;;RUE;HIPPOLYTE GOMOT;2;47;62,72;Appartement;63_300
163;6;;AV;DE LA GARE;4;109;108,84;Appartement;69_003
164;78;B;RUE;DES COLLONGES;2;43;43,25;Appartement;69_204
165;496;;RUE;ETIENNE POULET;3;71;78,72;Appartement;69_264
166;72;;RUE;SAINT PIERRE DE VAISE;1;38;32,82;Appartement;69_389
167;2;;PL;DE LA RHODIACETA;3;75;75,31;Appartement;69_389
168;24;;RUE;DE LA BANQUE;4;76;75,87;Appartement;70_550
169;22;;RUE;D ALSACE LORRAINE;4;106;168,38;Appartement;70_550
170;13;;RTE;DES MOULINS;1;21;21,29;Appartement;74_014
171;110;;RTE;DE LA SAUGE;3;76;76,14;Appartement;74_249
172;192;;RUE;SAINT DENIS;3;37;36,91;Appartement;75_102
173;24;;RUE;DE SAINTONGE;1;12;66;Appartement;75_103
174;8;;RUE;SAINT PAUL;2;25;25,34;Appartement;75_104
175;30;;RUE;DES BOULANGERS;1;20;21,34;Appartement;75_105
176;36;;RUE;DE BUCI;1;28;28,55;Appartement;75_106
177;7;;RUE;COGNACQ JAY;3;83;82,62;Appartement;75_107
178;38;;AV;CLAUDE VELLEFAUX;2;31;30,18;Appartement;75_110
179;7;;RUE;PLICHON;3;56;58,45;Appartement;75_111
180;33;;AV;PHILIPPE AUGUSTE;2;30;31,12;Appartement;75_111
181;38;B;RUE;TRAVERSIERE;2;50;44,95;Appartement;75_112
182;31;;RUE;DE L ABBE CARTON;1;26;25,06;Appartement;75_114
183;8;;RUE;MARMONTEL;2;37;37,38;Appartement;75_115
184;22;A;RUE;EMERIAU;6;97;99,96;Appartement;75_115
185;62;;RUE;LEGENDRE;3;75;63,16;Appartement;75_117
186;68;;RUE;MSTISLAV ROSTROPOVITCH;2;47;47,12;Appartement;75_117
187;76;;RUE;LEPIC;3;50;53,01;Appartement;75_118
188;21;B;RUE;DUHESME;3;51;52,46;Appartement;75_118
189;124;;RUE;DAMREMONT;2;50;52,24;Appartement;75_118
190;89;;RUE;DES POISSONNIERS;2;30;29,13;Appartement;75_118
191;28;;RUE;DE TORCY;3;68;67,8;Appartement;75_118
192;9;;RUE;HENRI CHEVREAU;1;25;21,01;Appartement;75_120
193;4;;RUE;MICHEL DUBOSC;1;20;19,9;Appartement;76_351
194;3;;RUE;HENRY LEMONNIER;1;30;45,84;Appartement;76_447
195;10;;RUE;ROBERT DE THORIGNY;2;39;39,3;Appartement;76_451
196;19;B;RUE;DU GENERAL DE GAULLE;2;29;32,99;Appartement;77_005
197;56;;RUE;REMY DUMONCEL;1;25;24,06;Appartement;77_014
198;4;;RUE;KONRAD ADENAUER;2;53;53,6;Appartement;77_058
199;17;;AV;DU GENERAL DE GAULLE;1;31;31,42;Appartement;77_058
200;13;Q;RUE;DE CHAMPAGNE;5;102;111,15;Maison;77_059
201;2;E;SQ;DU PETIT MARGAT;3;60;60,25;Appartement;77_192
202;2;C;CHE;DU GAZON;4;76;75,06;Maison;77_259
203;17;;RUE;LOUVIOT;2;33;33,49;Appartement;77_288
204;15;;RUE;DE VAUX;2;45;44,94;Appartement;77_288
205;2;B;RUE;DU TEMPLE;3;76;66,54;Appartement;77_379
206;113;;AV;DE POISSY;2;42;42,2;Appartement;78_005
207;8;;SQ;DES AUBADES;4;66;67,6;Appartement;78_372
208;9;;RES;DE LA SABOTTE;3;55;53,05;Appartement;78_372
209;1;;SQ;DU JURANCON;1;28;27,81;Appartement;78_383
210;3;;RUE;LOUIS PASTEUR;6;107;101,85;Maison;78_550
211;9003;;CITE;LA GARENNE A BREFAUT;3;51;55,06;Appartement;78_621
212;16;;RUE;DE L OCCIDENT;4;82;80,38;Appartement;78_646
213;29;;RUE;DES LILAS;3;71;71,05;Maison;82_096
214;71;;CHE;DE L ESCOURCHE;2;51;37,6;Appartement;83_009
215;271;;BD;DES GRAVIERS;1;15;15,2;Appartement;83_009
216;9500;;RES;LE ST VINCENT;2;30;29,85;Appartement;83_034
217;1;;AV;PIERRE DE COUBERTIN;3;64;64,84;Appartement;83_070
218;9733;;RES;LES TROIS TOURS 2;2;37;37,82;Appartement;85_035
219;5;;AV;DU LITTORAL;3;64;64,41;Appartement;85_127
220;3;;RUE;FIEF DES COUTS;3;64;63,63;Appartement;85_194
221;46;;RUE;DU BAS RUET;4;88;88,5;Maison;85_262
222;38;;RUE;JULES FERRY;3;82;81,24;Appartement;88_372
223;1;;RUE;DE COLMAR;2;44;42,25;Appartement;90_010
224;24;;RUE;DE CRONSTADT;3;56;56;Appartement;90_010
225;43;;RUE;DES 3 CHENES;4;63;69,17;Appartement;91_114
226;10;;RES;LES BOIS DU CERF;6;168;146,94;Maison;91_225
227;5;;RUE;MONTTESSUY;3;49;49;Appartement;91_326
228;4;;ALL;D'AUTRICHE;5;96;93,02;Appartement;91_377
229;50;B;RTE;D ORLEANS RN 20;2;44;40;Appartement;91_425
230;10;;ALL;DES ERABLES;5;118;115,97;Maison;91_570
231;239;;AV;ROBERT LEUTHREAU;2;45;90;Maison;91_589
232;4;;RUE;BERNARD JUGAULT;4;66;67,23;Appartement;92_004
233;26;;RUE;DES BOURGUIGNONS;3;40;40,69;Appartement;92_004
234;12;;RUE;DU R P CH GILBERT;2;54;54,2;Appartement;92_004
235;1;;RUE;CLAUDE MIVIERE;3;52;52,47;Appartement;92_009
236;6;;IMP;BELLEVUE;1;56;65,62;Appartement;92_012
237;197;;RUE;GALLIENI;4;88;87,15;Appartement;92_012
238;19;;ALL;ROBERT DOISNEAU;1;23;23,8;Appartement;92_012
239;11;;RUE;SAINT DENIS;2;29;31,2;Appartement;92_012
240;11;;RUE;FESSART;4;119;78,02;Appartement;92_012
241;36;;RUE;PAUL HENRY THILLOY;1;77;76,85;Appartement;92_014
242;1162;;AV;ROGER SALENGRO;3;50;59,73;Appartement;92_022
243;85;;AV;HENRI BARBUSSE;3;74;40,8;Appartement;92_023
244;273;;RUE;SAINT DENIS;3;62;61,06;Appartement;92_025
245;9;;RUE;PAUL BERT;2;35;38,05;Appartement;92_025
246;21;;RUE;VICTOR HUGO;2;32;32,02;Appartement;92_025
247;7;;RUE;DE LA SABLIERE;4;92;94,32;Appartement;92_026
248;1;;SQ;DES COLONNES;3;63;61,97;Appartement;92_048
249;6;;RUE;DE L'OUEST;3;61;61,93;Appartement;92_050
250;7;;RUE;DU GUE;1;25;25,16;Appartement;92_063
251;11;;RUE;DE LA BENARDE;2;46;46,75;Appartement;92_063
252;12;;SQ;RONSARD;2;47;48,5;Appartement;92_063
253;7;;RUE;LOUIS BLANC;2;43;44,17;Appartement;92_075
254;55;;RUE;DU MOUTIER;2;35;35;Appartement;93_001
255;77;;RUE;SADI CARNOT;2;30;30,45;Appartement;93_006
256;4;;RUE;ARTHUR RIMBAUD;3;71;70,56;Appartement;93_010
257;24;;RUE;KLEBER;6;147;102,46;Appartement;93_048
258;68;;RUE;DU COLONEL FABIEN;1;21;21,13;Appartement;94_016
259;18;;RUE;PAUL CARLE;2;42;41,57;Appartement;94_022
260;15;;RUE;DE TRUCY;1;15;29,07;Appartement;94_033
261;3;;ALL;MULATRESSE SOLITUDE;3;67;68,02;Appartement;94_041
262;4;;RUE;HALIFAX;3;76;73,81;Appartement;94_042
263;6;;RUE;ANQUETIL;2;50;50,08;Appartement;94_052
264;83;;AV;DU BAC;3;62;61,93;Appartement;94_068
265;16;;RUE;DU MOUTIER;2;34;34,2;Appartement;94_071
266;1;;RUE;PIERRE ET MARIE CURIE;2;39;39,39;Appartement;94_076
267;7;;ALL;DE DERRIERE LES JARDINS;4;82;84,23;Appartement;94_079
268;74;;RUE;DE LA JARRY;3;50;50,6;Appartement;94_080
269;27;;AV;PAUL DEROULEDE;1;20;25,14;Appartement;94_080
270;4;;RUE;DE LA BRIQUETERIE;3;63;64;Appartement;95_203
271;1;;RUE;DES CAPUCINES;2;46;45,04;Appartement;95_218
272;1;;RUE;DU PAPIER COUCHE;3;57;56,86;Appartement;95_218
273;20;;RUE;DES MARECHAUX;4;77;77,71;Appartement;95_500
274;76;;RUE;GEORGE SAND;3;61;61,05;Appartement;95_572
275;9003;;PL;DE L HORLOGE;4;119;105,71;Appartement;04_209
276;17;;RUE;DE VERDUN;2;30;30,09;Appartement;14_079
277;6412;;CHE;DE BOIS LURETTE;2;30;30,38;Appartement;14_754
278;10;;RUE;FERRI III;2;46;47,04;Appartement;54_395
279;29;;RTE;DE CUSIN;3;62;63,14;Appartement;74_256
280;5;;RUE;DU ROCHER;2;49;45,61;Appartement;77_014
281;12;;RUE;MARTIN BLEU DIEU;1;35;34,99;Appartement;80_021
282;7;;AV;DU DOCTEUR ROUANET;4;67;67,19;Appartement;82_112
283;9;;RUE;DE LA JUIVERIE;1;36;31,49;Appartement;91_223
284;1;;RUE;DE GEX;3;75;82,59;Appartement;01_160
285;140;;RUE;DE L'ABBE JOLIVET;5;109;109,22;Maison;01_288
286;1;;RUE;DES MONGES;4;120;144,6;Appartement;04_070
287;3;;RUE;NOTRE-DAME;2;32;31,21;Appartement;06_029
288;56;;AV;DU TROIS SEPTEMBRE;1;24;24,58;Appartement;06_032
289;114;;AV;GASTON DE FONTMICHEL;2;36;36,6;Appartement;06_079
290;55;;AV;DE SOSPEL;1;29;29;Appartement;06_083
291;649;;PROM;DU SOLEIL;2;57;54,34;Appartement;06_083
292;17;;RUE;GOUNOD;2;33;32,83;Appartement;06_088
293;4;;BD;CIMIEZ;4;144;133,44;Appartement;06_088
294;;;;LES FEUILLATES;3;63;63,58;Appartement;10_325
295;17;D;RUE;DE LA COOPERATIVE;3;50;50,75;Appartement;10_343
296;146;;AV;GEN GALLIENI;2;48;47,88;Appartement;10_362
297;2;;RUE;NVE DE LA REPUBLIQUE;3;66;68,03;Appartement;10_362
298;1;;RES;GRUISSAN PORT;3;25;23,89;Appartement;11_170
299;156;;PL;DE LA BONANCE;2;28;22,15;Appartement;11_170
300;2;;RUE;DE LA BIBLIOTHEQUE;5;84;82,72;Appartement;13_005
301;26;;RUE;DOCT SEVERIN ICARD;3;37;36,8;Appartement;13_022
302;3;;RUE;ANTOINE PIRRODI;1;30;29,29;Appartement;13_028
303;432;;BD;DE LAVAUX;4;114;115,53;Appartement;13_028
304;200;;CHEM;DU COULET;3;61;92,99;Maison;13_101
305;294;;BD;CHAVE;3;63;64,45;Appartement;13_205
306;62;;BD;BOMPARD;3;40;24,89;Appartement;13_207
307;2;;RUE;CAPITAINE DESSEMOND;1;22;22,71;Appartement;13_207
308;27;;RUE;ROCCA;4;86;85,37;Appartement;13_208
309;1;;RES;LE LANCIER;1;32;31,28;Appartement;13_209
310;68;;BD;MIREILLE LAUZE;5;111;112,09;Appartement;13_210
311;6;;AV;ROGER DELIENCOURT;2;43;41,78;Appartement;14_220
312;4;;AV;DE LA REPUBLIQUE;2;46;47,05;Appartement;14_754
313;15;;RUE;JEAN JACQUES ROUSSEAU;3;78;77,87;Appartement;18_033
314;5;;RUE;D ESPAGNAC;3;71;70,19;Appartement;19_031
315;8;;PL;DU GUESCLIN;4;123;168,7;Appartement;22_278
316;6113;;;SUVERA TORTA;2;32;32,16;Maison;2A_362
317;5495;;CHE;NEUF;4;84;82,11;Maison;30_106
318;163;;RUE;DE BRUNSWICK;1;40;36,29;Appartement;30_189
319;74;;IMP;DES LUPINS;3;65;65,24;Appartement;30_189
320;4;;RUE;DEMOISELLES DE GASCOGNE;2;38;36,46;Appartement;31_203
321;10;;BD;PIERRE CURIE;3;65;60,16;Appartement;31_555
322;7;;RUE;ARISTIDE DE SOUSA-MENDES;3;59;56,67;Appartement;33_039
323;422;;RTE;DE TOULOUSE;2;50;50,16;Appartement;33_039
324;51;;RUE;DE PESSAC;1;26;26,39;Appartement;33_063
325;12;;RUE;ANDRE LEROUX;2;35;35,8;Appartement;33_514
326;16;;AV;VIEILLE TOUR;1;19;20,15;Appartement;33_522
327;6;B;RTE;DE LA GARONNE;2;65;62,55;Appartement;33_533
328;24;;ALL;DE LA FLANERIE;1;23;23,7;Appartement;34_003
329;94;;RUE;FRANCOISE GIROUD;2;43;44,14;Appartement;34_079
330;8;;AV;GAL DE GAULLE;3;72;59,19;Appartement;34_157
331;;;RES;PORT VAUBAN;3;71;62,66;Appartement;34_301
332;2;B;AV;CHARLES LE GOFFIC;3;61;56,15;Appartement;35_210
333;2;;RUE;DUGUESCLIN;1;17;16,54;Appartement;35_238
334;7;;RUE;JEAN LURCAT;3;66;65,52;Appartement;37_261
335;42;;CRS;JEAN JAURES;2;31;31;Appartement;38_185
336;3;;AV;DE VALMY;3;62;61,23;Appartement;38_185
337;10;;RUE;ELISEE CHATIN;3;73;76,75;Appartement;38_185
338;5519;;RES;LES TERRASSES DE L ALPE I;1;17;16,3;Appartement;38_191
339;1;;RUE;FRANZ LISZT;4;61;60,73;Appartement;38_421
340;2;;RUE;SIMONE DE BEAUVOIR;4;81;81,25;Appartement;38_421
341;7;;PL;DE LA VICTOIRE;5;101;97,41;Maison;39_526
342;11;;RUE;DES SERRES;4;78;85,32;Appartement;40_088
343;220;;CHE;DE LAREIGNE;2;46;45,94;Appartement;40_281
344;9;T;AV;DE LA GARE;3;50;53,22;Maison;40_284
345;1;;ALL;HELENE ET JACQUES SOLOMON;3;65;65,26;Appartement;40_312
346;3;;PL;ALEXANDRE VIRO;4;90;91,43;Appartement;40_312
347;80;;RTE;DE L ETANG;4;74;74,39;Maison;40_317
348;33;;RUE;DU TREYVE;3;66;90,2;Appartement;42_005
349;85;B;RUE;JOANNY AUGE;3;77;76,75;Appartement;42_187
350;12;;RUE;BERCHOUX;2;42;41,31;Appartement;42_187
351;10;;RUE;DES ECOLIERS;2;59;61,37;Appartement;42_187
352;115;;RUE;DU MOULIN A VENT PROLONGE;4;70;75,95;Appartement;42_332
353;33;;RUE;ST GILLES;2;50;36,98;Appartement;43_157
354;29;;RUE;CHARLES NUNGESSER;3;51;51,77;Maison;44_035
355;2;;IMP;DE L HOTEL DIEU;1;50;62,88;Maison;44_109
356;44;;BD;OCEANIDES;2;68;67,98;Appartement;44_132
357;5;;RUE;LOUISE MICHEL;2;52;53,25;Appartement;44_198
358;28;;RUE;GUSTAVE EIFFEL;3;60;60,7;Appartement;45_075
359;481;;AV;DU LOIRET;4;68;70,03;Appartement;45_232
360;13;;RUE;DE GAUCOURT;2;45;44,39;Appartement;45_234
361;28;;RUE;DE LA HAUTE CROIX;1;26;26,25;Appartement;45_284
362;63;;RUE;DU PRE PIGEON;3;75;71,08;Appartement;49_007
363;99;;RUE;DE LA MADELEINE;1;20;21,62;Appartement;49_007
364;1;;;LE CARRE DES TOILES;2;40;39,78;Appartement;49_099
365;72;;RUE;SAINT PIERRE;2;59;59,19;Appartement;50_147
366;2;;RUE;DES AUGUSTINS;1;30;31,79;Appartement;51_108
367;1;;PL;CARNOT;2;44;43,85;Appartement;51_230
368;17;;RUE;DU BOUCAU;3;56;58,53;Appartement;54_263
369;3;;IMP;DU RAIL;2;38;38,01;Appartement;56_023
370;324;;RUE;DE LA REPUBLIQUE;2;44;43,84;Appartement;60_342
371;2;B;RUE;DES CLIGNETTES;4;80;64,45;Appartement;60_513
372;1;;RUE;SAINT EXUPERY;4;82;87,68;Maison;62_893
373;2;;ALL;DE LA GRAVIERE;2;54;54,68;Appartement;64_102
374;9;B;CHE;DU LOUP;3;61;60,77;Appartement;69_089
375;18;B;RUE;DU PERRON;4;102;104,11;Maison;69_176
376;437;;RUE;DE THIZY;3;57;56,02;Appartement;69_264
377;14;;RUE;IMBERT COLOMES;3;54;28,17;Appartement;69_381
378;6;;RUE;ROUX SOIGNAT;1;52;49,13;Appartement;69_383
379;49;;RUE;EUGENE PONS;2;52;51,01;Appartement;69_384
380;15;;PL;EDOUARD DE LA BOUSSINIERE;1;21;20,92;Appartement;72_181
381;5669;H;;IMM ARCELLE 1;2;27;30,84;Appartement;73_257
382;448;;AV;DU MONT PACCARD;2;25;16,7;Appartement;74_236
